eps,p,tau_petz,tau_optimal,tau_JRSWW,F_petz,Sigma
0.2,0.0,4.440892098500626e-16,4.440892098500626e-16,0.0,0.9999999999999996,0
0.2,0.05,0.0288846096874541,0.025000000000000244,0.0322692183379778,0.9711153903125459,0.06560269701064333
0.2,0.1,0.05364201016374981,0.05000000000000038,0.04871277239625349,0.9463579898362502,0.09987847022944817
0.2,0.15,0.07501013650493349,0.07500000000000029,0.06015518683321808,0.9249898634950665,0.12408101944619551
0.2,0.2,0.09355509355509384,0.10000000000000031,0.06878238729987118,0.9064449064449062,0.14252457640346738
0.2,0.25,0.10971786833855846,0.12500000000000044,0.07556959488895099,0.8902821316614415,0.1571550187946715
0.2,0.3,0.12384652744050562,0.15000000000000036,0.0810534887750558,0.8761534725594944,0.16905472311519834
0.2,0.35,0.13621889373746932,0.1750000000000005,0.08556443492997268,0.8637811062625307,0.17889654564873364
0.2,0.4,0.14705882352941213,0.2000000000000004,0.08932078409901578,0.8529411764705879,0.18712913356513716
0.2,0.45,0.15654808663449704,0.22500000000000042,0.09247414203084947,0.843451913365503,0.19406643923829814
0.2,0.5,0.16483516483516503,0.25000000000000033,0.09513361663177,0.835164835164835,0.199935977739008
0.2,0.55,0.17204185093301738,0.27500000000000024,0.09737985507010039,0.8279581490669826,0.20490694611865
0.2,0.6,0.178268251273345,0.30000000000000016,0.09927365614183359,0.821731748726655,0.20910758483049177
0.2,0.65,0.18359661052411347,0.32500000000000007,0.1008614958919043,0.8164033894758865,0.2126363834817701
0.2,0.7,0.18809425382389466,0.3500000000000001,0.10217919817175636,0.8119057461761053,0.21556956624597637
0.2,0.75,0.1918158567774939,0.3750000000000002,0.10325443854082694,0.8081841432225061,0.21796622433505525
0.2,0.8,0.1948051948051951,0.40000000000000013,0.10410848484352053,0.8051948051948049,0.219871900343769
0.2,0.85,0.19709648150015158,0.42500000000000027,0.1047574197301635,0.8029035184998484,0.22132111604837545
0.2,0.9,0.1987153753512647,0.4500000000000002,0.1052129984551664,0.8012846246487353,0.22233915226290035
0.2,0.95,0.19967971174056698,0.4750000000000003,0.10548323937919912,0.800320288259433,0.22294327758091875
0.2,1.0,0.2000000000000004,0.5000000000000002,0.10557280900008403,0.7999999999999996,0.22314355131420963
0.5,0.0,4.440892098500626e-16,4.440892098500626e-16,0.0,0.9999999999999996,0.0
0.5,0.05,0.04875000000000007,0.025000000000000244,0.056777829644035216,0.9512499999999999,0.11690684913753069
0.5,0.1,0.0950000000000002,0.05000000000000038,0.09449060087413774,0.9049999999999998,0.19851524334587256
0.5,0.15,0.13875000000000048,0.07500000000000029,0.12470318380186518,0.8612499999999995,0.2663844632679203
0.5,0.2,0.18000000000000005,0.10000000000000031,0.15001917340200677,0.82,0.32508297339144787
0.5,0.25,0.21875000000000078,0.12500000000000044,0.17170431481078485,0.7812499999999992,0.3767701612564368
0.5,0.3,0.255,0.15000000000000036,0.19051298268809602,0.745,0.4227090878059907
0.5,0.35,0.2887500000000002,0.1750000000000005,0.20694541003310074,0.7112499999999998,0.4637264398194103
0.5,0.4,0.3200000000000002,0.2000000000000004,0.22135590504765323,0.6799999999999998,0.5004024235381879
0.5,0.45,0.3487500000000002,0.22500000000000042,0.23400674929362675,0.6512499999999998,0.5331638407372985
0.5,0.5,0.3750000000000002,0.25000000000000033,0.24509817576144743,0.6249999999999998,0.5623351446188083
0.5,0.55,0.3987500000000004,0.27500000000000024,0.2547863988002449,0.6012499999999996,0.5881687773541906
0.5,0.6,0.42000000000000004,0.30000000000000016,0.26319510541132707,0.58,0.6108643020548934
0.5,0.65,0.4387500000000002,0.32500000000000007,0.2704231089632575,0.5612499999999998,0.6305810283860147
0.5,0.7,0.4550000000000002,0.3500000000000001,0.2765496207082828,0.5449999999999998,0.6474466390346324
0.5,0.75,0.4687500000000002,0.3750000000000002,0.28163797152621084,0.5312499999999998,0.661563238157982
0.5,0.8,0.4800000000000002,0.40000000000000013,0.28573828308503313,0.5199999999999998,0.6730116670092564
0.5,0.85,0.48875000000000024,0.42500000000000027,0.2888893990361182,0.5112499999999998,0.6818546087307834
0.5,0.9,0.4950000000000002,0.4500000000000002,0.29112027477154934,0.5049999999999998,0.6881388137135885
0.5,0.95,0.49875000000000014,0.4750000000000003,0.2924509544975963,0.5012499999999999,0.69189665920508
0.5,1.0,0.5000000000000002,0.5000000000000002,0.2928932188134524,0.4999999999999998,0.6931471805599452
0.8,0.0,4.440892098500626e-16,4.440892098500626e-16,0.0,0.9999999999999996,0
0.8,0.05,0.11553843874981451,0.025000000000000244,0.10488388033373819,0.8844615612501855,0.22160365295852524
0.8,0.1,0.2145680406549979,0.05000000000000038,0.18073392747257888,0.7854319593450021,0.398692746017258
0.8,0.15,0.30004054601973285,0.07500000000000029,0.2418449678373733,0.6999594539802672,0.5537347726674324
0.8,0.2,0.3742203742203746,0.10000000000000031,0.2925031110290405,0.6257796257796254,0.6920440933772072
0.8,0.25,0.4388714733542325,0.12500000000000044,0.3351537586073684,0.5611285266457675,0.8163989620234836
0.8,0.3,0.4953861097620206,0.15000000000000036,0.37141883950693566,0.5046138902379794,0.9285802512966993
0.8,0.35,0.5448755749498764,0.1750000000000005,0.40245484868263315,0.45512442505012357,1.029850861946326
0.8,0.4,0.5882352941176473,0.2000000000000004,0.4291222593096762,0.4117647058823527,1.1211604132591988
0.8,0.45,0.6261923465379868,0.22500000000000042,0.4520793820325396,0.37380765346201317,1.2032497205012547
0.8,0.5,0.6593406593406597,0.25000000000000033,0.47183966010286016,0.3406593406593404,1.2767107346557864
0.8,0.55,0.688167403732068,0.27500000000000024,0.4888089753181025,0.31183259626793197,1.3420238668489497
0.8,0.6,0.7130730050933786,0.30000000000000016,0.5033110619036876,0.28692699490662144,1.3995826558228992
0.8,0.65,0.7343864420964539,0.32500000000000007,0.5156053931342228,0.2656135579035462,1.4497108020062581
0.8,0.7,0.7523770152955769,0.3500000000000001,0.5259000701803811,0.24762298470442318,1.4926743142054426
0.8,0.75,0.7672634271099746,0.3750000000000002,0.5343612610171883,0.23273657289002536,1.5286903674867114
0.8,0.8,0.7792207792207793,0.40000000000000013,0.5411201762278762,0.2207792207792207,1.557933850100281
0.8,0.85,0.7883859260006052,0.42500000000000027,0.5462782300867404,0.21161407399939483,1.5805422208114213
0.8,0.9,0.7948615014050584,0.4500000000000002,0.5499108213613741,0.20513849859494157,1.5966190821985837
0.8,0.95,0.7987188469622662,0.4750000000000003,0.5520700270244192,0.20128115303773378,1.6062367382144958
0.8,1.0,0.8000000000000002,0.5000000000000002,0.5527864045000419,0.19999999999999984,1.6094379124340994
